Address,found_address,coordinates,District
"մոնթե մելքոնյան փողոց, երևան","Armenia, Yerevan, Monte Melkonyan Street","40.178255,44.480521",Մալաթիա-Սեբաստիա
"հին երևանցու փողոց, երևան","Armenia, Yerevan, Hin Yerevantsu Street","40.183747,44.513481",Կենտրոն
"զաքարիա քանաքեռցու փողոց, երևան","Armenia, Yerevan, Zakaria Kanakertsi Street","40.222884,44.544796",Քանաքեռ-Զեյթուն
"տպագրիչների փողոց 8, երևան","Armenia, Yerevan, Tpagrichner Street, 8","40.177077,44.520353",Կենտրոն
"հակոբ հակոբյան փողոց, երևան","Armenia, Yerevan, Hakob Hakobyan Street","40.200784,44.491059",Արաբկիր
"նիկողայոս տիգրանյան փողոց, երևան","Armenia, Yerevan, Nikoghayos Tigranyan Street","40.208718,44.52047",Արաբկիր
"բաղրամյան պողոտա, երևան","Armenia, Yerevan, Baghramyan Avenue","40.192249,44.504093",Արաբկիր
"արամի փողոց, երևան","Armenia, Yerevan, Aram Street","40.179902,44.513211",Կենտրոն
"ազատության պողոտա, երևան","Armenia, Yerevan, Azatutyan Avenue","40.203553,44.523838",Արաբկիր
"գարեգին հովսեփյան փողոց, երևան","Armenia, Yerevan, Garegin Hovsepyan Street","40.178283,44.540161",Նորք-Մարաշ
"երվանդ քոչարի փողոց, երևան","Armenia, Yerevan, Yervand Kochar Street","40.171247,44.517559",Կենտրոն
"զորավար անդրանիկի փողոց, երևան","Armenia, Yerevan, Zoravar Andranik Street","40.175162,44.44573",Մալաթիա-Սեբաստիա
"դավիթ անհաղթի փողոց, երևան","Armenia, Yerevan, Davit Anhaght Street","40.202168,44.532291",Քանաքեռ-Զեյթուն
"տիգրան պետրոսյան փողոց, երևան","Armenia, Yerevan, Tigran Petrosyan Street","40.222898,44.495784",Դավթաշեն
"մինսկի փողոց, երևան","Armenia, Yerevan, Minsk Street","40.177608,44.576515",Նոր Նորք
"եղիշե թադևոսյան փողոց, երևան","Armenia, Yerevan, Yeghishe Tadevosyan Street","40.145621,44.489684",Շենգավիթ
"եկմալյան փողոց, երևան","Armenia, Yerevan, Yekmalyan Street","40.184732,44.508127",Կենտրոն
"մարիա յակոբսեն փողոց, երևան","Armenia, Yerevan, Maria Jacobsen Street","40.201741,44.519679",Արաբկիր
"տիգրան մեծի պողոտա 53, երևան","Armenia, Yerevan, Tigran Mets Avenue, 53","40.162764,44.513687",Կենտրոն
"քաջազնունի փողոց 11, երևան","Armenia, Yerevan, Kajaznuni Street, 11","40.168718,44.521224",Կենտրոն
"վրացական փողոց 7, երևան","Armenia, Yerevan, Vratsakan Street, 7","40.205743,44.509537",Արաբկիր
"րաֆֆու փողոց, երևան","Armenia, Yerevan, Raffi Street","40.174218,44.447715",Մալաթիա-Սեբաստիա
"խանջյան փողոց 43, երևան","Armenia, Yerevan, Khanjyan Street, 43","40.180757,44.523254",Կենտրոն
"առնո բաբաջանյան փողոց, երևան","Armenia, Yerevan, Arno Babajanyan Street","40.16734,44.438867",Մալաթիա-Սեբաստիա
"լենինգրադյան փողոց 25, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 25","40.191112,44.472212",Մալաթիա-Սեբաստիա
"դավիթ հովհաննեսի փողոց 16, երևան","Armenia, Yerevan, Davit Hovhannes Street, 16","40.201838,44.508827",Արաբկիր
"արաբկիրի 39-րդ փողոց, երևան","Armenia, Yerevan, Gevorg Vardanyan Street","40.202072,44.513085",Արաբկիր
"անաստաս միկոյան փողոց, երևան","Armenia, Yerevan, Anastas Mikoyan Street","40.221059,44.502036",Դավթաշեն
"հանրապետության փողոց, երևան","Armenia, Yerevan, Hanrapetutyan Street","40.177801,44.518736",Կենտրոն
"նազարբեկյան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Nazarbekyan Quarter","40.213278,44.460696",Աջափնյակ
"սարյան փողոց, երևան","Armenia, Yerevan, Saryan Street","40.184877,44.506339",Կենտրոն
"ֆուչիկի փողոց, երևան","Armenia, Yerevan, Fuchik Street","40.205481,44.476892",Աջափնյակ
"գյուրջյան փողոց 11/5, երևան","Armenia, Yerevan, Gyurjyan Street, 11/5","40.192648,44.561855",Նոր Նորք
"տիգրան մեծի պողոտա, երևան","Armenia, Yerevan, Tigran Mets Avenue","40.166182,44.513112",Կենտրոն
"էստոնական փողոց 10, երևան","Armenia, Yerevan, Estonakan Street, 10","40.196554,44.475724",Աջափնյակ
"վիկտոր համբարձումյան փողոց, երևան","Armenia, Yerevan, Viktor Hambardzumyan Street","40.197236,44.500635",Արաբկիր
"ռոստոմի փողոց 29, երևան","Armenia, Yerevan, Rostom Street, 29","40.167368,44.518296",Կենտրոն
"ռուբեն սևակի փողոց, երևան","Armenia, Yerevan, Ruben Sevak Street","40.201507,44.508962",Արաբկիր
"շինարարների փողոց, երևան","Armenia, Yerevan, Shinararner Street","40.195238,44.473892",Աջափնյակ
"նարեկացու թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Narekatsi District","40.219634,44.580639",Ավան
"բաղրամյան պողոտա 56, երևան","Armenia, Yerevan, Baghramyan Avenue, 56","40.193289,44.499054",Արաբկիր
"սարմենի փողոց, երևան","Armenia, Yerevan, Sarmen Street","40.191815,44.512726",Կենտրոն
"մարշալ բաղրամյան պողոտայի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Marshal Baghramyan Avenue 2nd Lane","40.194329,44.498362",Արաբկիր
"կոմիտասի պողոտա, երևան","Armenia, Yerevan, Komitas Avenue","40.206239,44.50721",Արաբկիր
"գուսան շերամի փողոց, երևան","Armenia, Yerevan, Gusan Sheram Street","40.179923,44.441427",Մալաթիա-Սեբաստիա
"գյուլիքևխյան փողոց, երևան","Armenia, Yerevan, Gyulikevkhyan Street","40.186916,44.572527",Նոր Նորք
"բագրևանդի փողոց, երևան","Armenia, Yerevan, Bagrevand Street","40.200363,44.583181",Նոր Նորք
"տիչինայի փողոց, երևան","Armenia, Yerevan, Tychyna Street","40.18609,44.445936",Աջափնյակ
"վահրամ փափազյան փողոց, երևան","Armenia, Yerevan, Vahram Papazyan Street","40.204145,44.502351",Արաբկիր
"թամանյան փողոց 3, երևան","Armenia, Yerevan, Tamanyan Street, 3","40.189707,44.51499",Կենտրոն
"վարդանանց փողոց, երևան","Armenia, Yerevan, Vardanants Street","40.174211,44.521143",Կենտրոն
"հրաչյա աճառյանի փողոց 39/25, երևան","Armenia, Yerevan, Acharyan Street, 39/25","40.224137,44.551677",Ավան
"artashisian st 88, yerevan","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"գյուրջյան փողոց, երևան","Armenia, Yerevan, Gyurjyan Street","40.190871,44.559403",Նոր Նորք
"մոլդովական փողոց, երևան","Armenia, Yerevan, Moldovakan Street","40.19871,44.568511",Նոր Նորք
"արցախի պողոտա, երևան","Armenia, Yerevan, Artsakh Avenue","40.1355,44.510229",Էրեբունի
"մեսրոպ մաշտոցի պողոտա, երևան","Armenia, Yerevan, Mashtots Avenue","40.182514,44.50969",Կենտրոն
"մամիկոնյանց փողոց, երևան","Armenia, Yerevan, Mamikonyants Street","40.209352,44.516795",Արաբկիր
"բրյուսովի փողոց, երևան","Armenia, Yerevan, Bryusov Street","40.167933,44.50439",Կենտրոն
"բաշինջաղյան փողոց, երևան","Armenia, Yerevan, Bashinjaghyan Street","40.201169,44.468664",Աջափնյակ
"սարյանի փողոց, երևան","Armenia, Yerevan, Saryan Street","40.184877,44.506339",Կենտրոն
"ֆրունզեի փողոց, երևան","Armenia, Yerevan, Frunze Street","40.147234,44.495487",Շենգավիթ
"քուչակ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Kuchak District","40.219021,44.577117",Ավան
"էստոնական փողոց, երևան","Armenia, Yerevan, Estonakan Street","40.196003,44.476533",Աջափնյակ
"կոմիտասի պողոտա 59, երևան","Armenia, Yerevan, Komitas Avenue, 59","40.206604,44.521637",Արաբկիր
"սայաթ-նովայի պողոտա, երևան","Armenia, Yerevan, Sayat-Nova Avenue","40.181859,44.521206",Կենտրոն
"առնո բաբաջանյան փողոց 75, երևան","Armenia, Yerevan, Arno Babajanyan Street, 75","40.166878,44.439882",Մալաթիա-Սեբաստիա
"պարոնյան փողոց 11, երևան","Armenia, Yerevan, Paronyan Street, 11","40.179406,44.500868",Կենտրոն
"վարդանանց փողոց 22, երևան","Armenia, Yerevan, Vardanants Street, 22","40.172488,44.521296",Կենտրոն
"հալաբյան փողոց, երևան","Armenia, Yerevan, Halabyan Street","40.199964,44.479632",Աջափնյակ
"գարեգին նժդեհի փողոց, երևան","Armenia, Yerevan, Garegin Nzhdeh Street","40.152046,44.497006",Շենգավիթ
"մանթաշյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"թամանյան փողոց, երևան","Armenia, Yerevan, Tamanyan Street","40.189279,44.515152",Կենտրոն
"լվովյան փողոց 31վ, երևան","Armenia, Yerevan, Lvovyan Street, 29","40.196926,44.556214",Նոր Նորք
"ավանեսովի փողոց, երևան","Armenia, Yerevan, Avanesov Street","40.131549,44.528815",Էրեբունի
"ծիծեռնակաբերդի խճուղի 1/2, երևան","Armenia, Yerevan, Tsitsernakaberd Highway, 1/2","40.178662,44.489334",Մալաթիա-Սեբաստիա
"աբելյան փողոց, երևան","Armenia, Yerevan, Abelyan Street","40.199158,44.477",Աջափնյակ
"նաիրի զարյան փողոց, երևան","Armenia, Yerevan, Nairi Zaryan Street","40.20431,44.515502",Արաբկիր
"հրաչյա քոչարի փողոց, երևան","Armenia, Yerevan, Hrachya Kochar Street","40.201348,44.501821",Արաբկիր
"ռուբինյանց փողոց 7, երևան","Armenia, Yerevan, Rubinyants Street, 7","40.200915,44.541939",Քանաքեռ-Զեյթուն
"փավստոս բուզանդի փողոց 7, երևան","Armenia, Yerevan, Pavstos Buzand Street, 7","40.179537,44.512124",Կենտրոն
"ադմիրալ իսակովի պողոտա 4, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 4","40.17295,44.492909",Մալաթիա-Սեբաստիա
"ադմիրալ իսակովի պողոտա, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue","40.157229,44.459896",Մալաթիա-Սեբաստիա
"վիլնյուսի փողոց 21, երևան","Armenia, Yerevan, Vilnius Street, 21","40.172316,44.567802",Նոր Նորք
"տիգրան մեծի պողոտա 27a, երևան","Armenia, Yerevan, Tigran Mets Avenue, 27A","40.170069,44.513876",Կենտրոն
"սիսակյան փողոց, երևան","Armenia, Yerevan, Sisakyan Street","40.192345,44.468026",Աջափնյակ
"ղազար փարպեցու փողոց, երևան","Armenia, Yerevan, Ghazar Parpetsi Street","40.184953,44.510319",Կենտրոն
"սվաճյան փողոց, երևան","Armenia, Yerevan, Svachyan Street","40.175106,44.445397",Մալաթիա-Սեբաստիա
"մարգարյան 2-րդ նրբանցք, երևան","Armenia, Yerevan, Margaryan Street 2nd Lane","40.207238,44.471098",Աջափնյակ
"լեփսիուսի փողոց 39, երևան","Armenia, Yerevan, Lepsius Street, 39","40.210468,44.549512",Քանաքեռ-Զեյթուն
"պարոնյան փողոց, երևան","Armenia, Yerevan, Paronyan Street","40.183692,44.500491",Կենտրոն
"տպագրիչների փողոց, երևան","Armenia, Yerevan, Tpagrichner Street","40.178014,44.519715",Կենտրոն
"արամ խաչատրյան փողոց, երևան","Armenia, Yerevan, Aram Khachatryan Street","40.205281,44.498191",Արաբկիր
"մաշտոցի պողոտա, երևան","Armenia, Yerevan, Mashtots Avenue","40.182514,44.50969",Կենտրոն
"գալշոյան փողոց, երևան","Armenia, Yerevan, Galshoyan Street","40.182086,44.571152",Նոր Նորք
"անաստաս միկոյան փողոց 64/3, երևան","Armenia, Yerevan, Anastas Mikoyan Street, 64/3","40.21898,44.500814",Դավթաշեն
"էրեբունու փողոց, երևան","Armenia, Yerevan, Erebuni Street","40.141947,44.522311",Էրեբունի
"ադոնցի փողոց 9, երևան","Armenia, Yerevan, Adonts Street, 9","40.210413,44.526767",Արաբկիր
"սեբաստիայի փողոց, երևան","Armenia, Yerevan, Sebastia Street","40.176478,44.458396",Մալաթիա-Սեբաստիա
"դավթաշենի 1-ին զանգված, երևան","Armenia, Yerevan, Davtashen 1st Street","40.216177,44.480432",Դավթաշեն
"քեռու փողոց, երևան","Armenia, Yerevan, Qeri Street","40.199943,44.486792",Արաբկիր
"ծարավ աղբյուրի փողոց, երևան","Armenia, Yerevan, Tsarav Akhpyur Street","40.218147,44.545838",Քանաքեռ-Զեյթուն
"չեխովի փողոց, երևան","Armenia, Yerevan, Chekhov Street","40.152549,44.479866",Շենգավիթ
"նալբանդյան փողոց, երևան","Armenia, Yerevan, Nalbandyan Street","40.18148,44.519787",Կենտրոն
"եզնիկ կողբացու փողոց 1ա, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street, 1A","40.179358,44.507148",Կենտրոն
"բորյան փողոց, երևան","Armenia, Yerevan, Boryan Street","40.200343,44.559376",Նոր Նորք
"մինաս ավետիսյան փողոց, երևան","Armenia, Yerevan, Hunan Avetisyan Street","40.177601,44.565295",Նոր Նորք
"ավետիս ահարոնյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"դրոյի փողոց, երևան","Armenia, Yerevan, Dro Street","40.204214,44.543008",Քանաքեռ-Զեյթուն
"թումանյան փողոց, երևան","Armenia, Yerevan, Tumanyan Street","40.182996,44.516589",Կենտրոն
"վաղարշ վաղարշյան փողոց, երևան","Armenia, Yerevan, Vagharshyan Street","40.200804,44.499997",Արաբկիր
"լեփսիուսի փողոց, երևան","Armenia, Yerevan, Lepsius Street","40.209455,44.544724",Քանաքեռ-Զեյթուն
"ալեք մանուկյանի փողոց, երևան","Armenia, Yerevan, Aram Manukyan Street","40.170303,44.453177",Մալաթիա-Սեբաստիա
"թոթովենցի փողոց, երևան","Armenia, Yerevan, Totovents Street","40.203132,44.568997",Նոր Նորք
"վերին շենգավիթի 2-րդ փողոց, երևան","Armenia, Yerevan, Verin Shengavit 2nd Street","40.154072,44.492945",Շենգավիթ
"անտառային փողոց, երևան","Armenia, Yerevan, Antarayin Street","40.192076,44.514837",Կենտրոն
"улица молдовакан 43/4, yerevan","Armenia, Yerevan, Moldovakan Street, 43/4","40.198876,44.574153",Նոր Նորք
"հակոբ պարոնյանի փողոց 44, երևան","Armenia, Yerevan, Paronyan Street, 44","40.184849,44.503258",Կենտրոն
"կարապետ ուլնեցու փողոց, երևան","Armenia, Yerevan, Karapet Ulnetsi Street","40.203869,44.534879",Քանաքեռ-Զեյթուն
"դավիթ մալյան փողոց 15, երևան","Armenia, Yerevan, Davit Malyan Street, 15","40.207603,44.563382",Ավան
"դուրյան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Duryan District","40.212947,44.581384",Ավան
"դավիթ բեկի 1-ին փողոց, երևան","Armenia, Yerevan, David-Bek 1st Street","40.148482,44.524817",Էրեբունի
"դավթաշեն 3-րդ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 3rd Block","40.217058,44.492164",Դավթաշեն
"մինսկի փողոց 17, երևան","Armenia, Yerevan, Minsk Street, 17","40.174066,44.574045",Նոր Նորք
"հերացու փողոց, երևան","Armenia, Yerevan, Heratsi Street","40.189155,44.528213",Կենտրոն
"ծովակալ իսակովի պողոտա, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue","40.157229,44.459896",Մալաթիա-Սեբաստիա
"շոպրոնի փողոց, երևան","Armenia, Yerevan, Shopron Street","40.186289,44.55881",Նոր Նորք
"խանջյան փողոց, երևան","Armenia, Yerevan, Khanjyan Street","40.176188,44.521458",Կենտրոն
"եզնիկ կողբացու փողոց, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street","40.181349,44.510723",Կենտրոն
"նիկողայոս ադոնցի փողոց, երևան","Armenia, Yerevan, Adonts Street","40.212375,44.522967",Արաբկիր
"աղբյուր սերոբի փողոց, երևան","Armenia, Yerevan, Aghbyur Serob Street","40.197153,44.50386",Արաբկիր
"վրացական փողոց, երևան","Armenia, Yerevan, Vratsakan Street","40.206914,44.510453",Արաբկիր
"դավթաշեն 2-րդ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 2nd Block","40.225053,44.495065",Դավթաշեն
"մաշտոցի պողոտա 18, երևան","Armenia, Yerevan, Mashtots Avenue, 18","40.180329,44.507417",Կենտրոն
"աբովյան փողոց, երևան","Armenia, Yerevan, Abovyan Street","40.184787,44.520137",Կենտրոն
"դավթաշեն 1-ին թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 1st Block","40.220846,44.48875",Դավթաշեն
"բեկնազարյան փողոց 40, երևան","Armenia, Yerevan, Beknazaryan Street, 38/14","40.210881,44.471664",Աջափնյակ
"արգիշտի փողոց, երևան","Armenia, Yerevan, Argishti Street","40.174031,44.503159",Կենտրոն
"հյուսիսային պողոտա, երևան","Armenia, Yerevan, Northern Avenue","40.182121,44.514613",Կենտրոն
"շարուրի փողոց, երևան","Armenia, Yerevan, Sharuri Street","40.138782,44.459573",Շենգավիթ
"գրիբոյեդովի փողոց, երևան","Armenia, Yerevan, Griboyedov Street","40.209627,44.514083",Արաբկիր
"կորյունի փողոց, երևան","Armenia, Yerevan, Koryun Street","40.188811,44.523093",Կենտրոն
"ամիրյան փողոց, երևան","Armenia, Yerevan, Amiryan Street","40.180371,44.508441",Կենտրոն
"azatutyan ave, yerevan","Armenia, Yerevan, Azatutyan Avenue","40.203553,44.523838",Արաբկիր
"վարդանանց փողոց 26, երևան","Armenia, Yerevan, Vardanants Street, 26","40.171048,44.521458",Կենտրոն
"սիմոն վրացյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"ավան-առինջ 1-ին միկրոշրջան, երևան","Armenia, Yerevan, The Administrative District of Avan, Avan-Arinj 1st Microdistrict","40.220935,44.570901",Ավան
"գայի պողոտա, երևան","Armenia, Yerevan, Gai Avenue","40.19849,44.56729",Նոր Նորք
"rubinyants st 23, yerevan","Armenia, Yerevan, Rubinyants Street, 23","40.204131,44.549162",Քանաքեռ-Զեյթուն
"ռուբինյանց փողոց, երևան","Armenia, Yerevan, Rubinyants Street","40.203925,44.549871",Քանաքեռ-Զեյթուն
"լվովյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Lvovyan Street Lane","40.201576,44.561064",Նոր Նորք
"պուշկինի փողոց 1, երևան","Armenia, Yerevan, Pushkin Street, 1","40.179764,44.516382",Կենտրոն
"սարյան փողոց 2, երևան","Armenia, Yerevan, Saryan Street, 2","40.187495,44.509663",Կենտրոն
"բագրատունյաց փողոց 22/3, երևան","Armenia, Yerevan, Bagratunyats Street, 22/3","40.14955,44.484824",Շենգավիթ
"ղափանցյան փողոց, երևան","Armenia, Yerevan, Ghapantsyan Street","40.219627,44.525123",Արաբկիր
"շիրազի փողոց, երևան","Armenia, Yerevan, Shiraz Street","40.204717,44.461549",Աջափնյակ
"վերին անտառային փողոց, երևան","Armenia, Yerevan, Verin Antarayin Street","40.197422,44.510283",Կենտրոն
"սևանի փողոց, երևան","Armenia, Yerevan, Sevan Street","40.158628,44.506923",Էրեբունի
"դավիթ մալյան փողոց, երևան","Armenia, Yerevan, Davit Malyan Street","40.209249,44.567757",Ավան
"խորենացու փողոց, երևան","Armenia, Yerevan, Khorenatsi Street","40.165969,44.515071",Կենտրոն
"գարեգին նժդեհի փողոց 23/3, երևան","Armenia, Yerevan, Garegin Nzhdeh Street, 23/3","40.152969,44.494742",Շենգավիթ
"պուշկինի փողոց, երևան","Armenia, Yerevan, Pushkin Street","40.182913,44.512349",Կենտրոն
"մարգարյան փողոց , երևան","Armenia, Yerevan, Margaryan Street","40.205082,44.475769",Աջափնյակ
"կարպ խաչվանքյանի փողոց 3/2, երևան","Armenia, Yerevan, Karp Khachvankyan Street, 3/2","40.2015,44.512528",Արաբկիր
"արգիշտիի փողոց, երևան","Armenia, Yerevan, Argishti Street","40.174031,44.503159",Կենտրոն
"այգեձորի փողոց, երևան","Armenia, Yerevan, Aygedzor Street","40.191553,44.498398",Արաբկիր
"ներսիսյան փողոցի փակուղի, երևան","Armenia, Yerevan, Shirak Street 1st Deadlock","40.147986,44.444751",Շենգավիթ
"արամի փողոց 3, երևան","Armenia, Yerevan, Aram Street, 3","40.17953,44.513472",Կենտրոն
"մարգարյան փողոց 37, երևան","Armenia, Yerevan, Margaryan Street, 37","40.203945,44.470757",Աջափնյակ
"անաստաս միկոյանի փողոց, երևան","Armenia, Yerevan, Tigran Mets Avenue","40.166182,44.513112",Կենտրոն
"կոմիտասի պողոտա 3, երևան","Armenia, Yerevan, Komitas Avenue, 3","40.201948,44.495739",Արաբկիր
"նանսենի փողոց 21/1, երևան","Armenia, Yerevan, Nansen Street, 21/1","40.19663,44.557444",Նոր Նորք
"գալշոյան փողոց 19, երևան","Armenia, Yerevan, Galshoyan Street, 19","40.180963,44.566535",Նոր Նորք
"մարգարյան փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Margaryan Street 1st Lane","40.206638,44.474736",Աջափնյակ
"խաղաղ դոնի փողոց, երևան","Armenia, Yerevan, Khaghagh Doni Street","40.128357,44.526713",Էրեբունի
"գրիբոյեդովի փողոց 21/4, երևան","Armenia, Yerevan, Griboyedov Street, 21/4","40.21292,44.513705",Արաբկիր
"միքայել չայլախյան փողոց, երևան","Armenia, Yerevan, Mikhail Chailakhyan Street","40.181025,44.528635",Կենտրոն
"կիևյան փողոց, երևան","Armenia, Yerevan, Kievyan Street","40.195059,44.488427",Արաբկիր
"տիգրան մեծի 1-ին նրբանցք, երևան","Armenia, Yerevan, The Administrative District of Kentron, Poqr Kentron District, Old Yerevan Quarter","40.180102,44.512268",Կենտրոն
"ներքին շենգավիթի 11-րդ փողոց, երևան","Armenia, Yerevan, Vahram Aristakesyan Street","40.13901,44.484429",Շենգավիթ
"բակունցի փողոց, երևան","Armenia, Yerevan, Bakunts Street","40.190981,44.571557",Նոր Նորք
"արաբկիրի 21-րդ փողոց, երևան","Armenia, Yerevan, Ruben Sevak Street","40.201507,44.508962",Արաբկիր
"հրաչյա աճառյանի փողոց, երևան","Armenia, Yerevan, Acharyan Street","40.223249,44.56022",Ավան
"երվանդ քոչարի փողոց 19, երևան","Armenia, Yerevan, Yervand Kochar Street, 19","40.169773,44.517128",Կենտրոն
"նոր արեշի 15-րդ փողոց, երևան","Armenia, Yerevan, Nor Aresh 15th Street","40.13901,44.516032",Էրեբունի
"օրբելի եղբայրների փողոց, երևան","Armenia, Yerevan, Orbeli Brothers Street","40.193365,44.492649",Արաբկիր
"պարոնյան փողոց 2, երևան","Armenia, Yerevan, Paronyan Street, 2","40.178056,44.503285",Կենտրոն
"nikoghayos adonts street, yerevan","Armenia, Yerevan, Adonts Street","40.212375,44.522967",Արաբկիր
"մարշալ բաբաջանյան փողոց, երևան","Armenia, Yerevan, Marshal Babajanyan Street","40.219861,44.572617",Ավան
"մազմանյան փողոց, երևան","Armenia, Yerevan, Mazmanyan Street","40.208959,44.465259",Աջափնյակ
"ագաթանգեղոսի փողոց, երևան","Armenia, Yerevan, Agatangeghos Street","40.172364,44.511325",Կենտրոն
"արգիշտիի փողոց 7/4, երևան","Armenia, Yerevan, Argishti Street, 7/4","40.170896,44.503689",Կենտրոն
"հանրապետության փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Hanrapetutyan Street 2nd Lane","40.178765,44.519769",Կենտրոն
"արզումանյան փողոց, երևան","Armenia, Yerevan, Arzumanyan Street","40.193137,44.473497",Աջափնյակ
"ծիծեռնակաբերդի խճուղի , երևան","Armenia, Yerevan, Tsitsernakaberd Highway","40.181652,44.484833",Մալաթիա-Սեբաստիա
"բաշինջաղյան փողոց 2-րդ նրբանցք, երևան","Armenia, Yerevan, Bashinjaghyan Street 2nd Lane","40.205481,44.465591",Աջափնյակ
"լվովյան փողոց, երևան","Armenia, Yerevan, Lvovyan Street","40.201066,44.558729",Նոր Նորք
"մառի փողոցի նրբանցք, երևան","Armenia, Yerevan, Mar Street Lane","40.186882,44.567011",Նոր Նորք
"լյուքսեմբուրգի փողոց, երևան","Armenia, Yerevan, Lyuksemburg Street","40.189224,44.560669",Նոր Նորք
"շևչենկոյի փողոց, երևան","Armenia, Yerevan, Shevchenko Street","40.15572,44.484025",Շենգավիթ
"բագրատունյաց փողոց, երևան","Armenia, Yerevan, Bagratunyats Street","40.15188,44.482219",Շենգավիթ
"melkumov srteet, yerevan","Armenia, Yerevan, Melkumov Street","40.214841,44.47126",Աջափնյակ
"արմեն գուլակյան փողոց, երևան","Armenia, Yerevan, Armen Gulakyan Street","40.196947,44.501919",Արաբկիր
"տերյան փողոց, երևան","Armenia, Yerevan, Teryan Street","40.186186,44.518457",Կենտրոն
"զորավար անդրանիկի փողոց 63, երևան","Armenia, Yerevan, Zoravar Andranik Street, 63","40.176147,44.44732",Մալաթիա-Սեբաստիա
"փավստոս բուզանդի փողոց, երևան","Armenia, Yerevan, Pavstos Buzand Street","40.178193,44.514442",Կենտրոն
"շոպրոնի փողոց , երևան","Armenia, Yerevan, Shopron Street","40.186289,44.55881",Նոր Նորք
